400,0.0002
402,0.0003
404,0.0011
406,0.0004
408,0.0008
410,0.0005
412,0.001
414,0.0006
416,0.0006
418,0.0007
420,0.0009
422,0.0009
424,0.0005
426,0.0013
428,0.0016
430,0.0013
432,0.0013
434,0.0012
436,0.0013
438,0.0013
440,0.0016
442,0.0019
444,0.0016
446,0.002
448,0.0022
450,0.0019
452,0.0027
454,0.0025
456,0.0031
458,0.0037
460,0.0043
462,0.0052
464,0.0066
466,0.0077
468,0.0098
470,0.0121
472,0.0156
474,0.0194
476,0.0245
478,0.0316
480,0.0403
482,0.0512
484,0.0667
486,0.0834
488,0.1054
490,0.1356
492,0.1711
494,0.2163
496,0.268
498,0.3263
500,0.3941
502,0.4591
504,0.5345
506,0.6123
508,0.6856
510,0.7567
512,0.8272
514,0.8885
516,0.9428
518,0.9825
520,1
522,0.986
524,0.9583
526,0.9035
528,0.8254
530,0.7457
532,0.663
534,0.5856
536,0.5245
538,0.4654
540,0.4143
542,0.3724
544,0.3313
546,0.2921
548,0.2593
550,0.2256
552,0.1953
554,0.1686
556,0.1452
558,0.1253
560,0.1091
562,0.0947
564,0.0833
566,0.073
568,0.0624
570,0.0553
572,0.0483
574,0.0424
576,0.0366
578,0.0309
580,0.0276
582,0.0239
584,0.0212
586,0.0189
588,0.0163
590,0.0149
592,0.0126
594,0.0111
596,0.0098
598,0.0088
600,0.008
602,0.0072
604,0.0066
606,0.0055
608,0.0049
610,0.0046
612,0.0044
614,0.004
616,0.0038
618,0.0032
620,0.0032
622,0.0027
624,0.0027
626,0.0025
628,0.0022
630,0.0021
632,0.0017
634,0.002
636,0.0014
638,0.0013
640,0.0013
642,0.0017
644,0.0014
646,0.0012
648,0.001
650,0.0013
652,0.0009
654,0.001
656,0.001
658,0.0011
660,0.0007
662,0.0008
664,0.0008
666,0.0008
668,0.0007
670,0.0006
672,0.0006
674,0.0008
676,0.0006
678,0.0008
680,0.0003
682,0.0006
684,0.0008
686,0.0009
688,0.0006
690,0.0006
692,0.0003
694,0.0005
696,0.0005
698,0.0005
700,0.0007
