Wavelength (nm),Irradiance
1128.0773,3.6655
1134.6983,3.6266
1136.59,3.6266
1142.9744,3.6073
1144.1568,3.5818
1151.7235,3.5691
1153.6152,3.569
1159.4795,3.5275
1161.4973,3.5375
1168.7488,3.4938
1170.6405,3.5124
1176.5047,3.4641
1178.5225,3.4659
1185.0174,3.4347
1187.0352,3.4413
1193.53,3.4001
1195.5478,3.4109
1202.0426,3.3658
1204.0604,3.3747
1210.5552,3.3461
1212.5731,3.3538
1219.0679,3.3124
1221.0857,3.3211
1227.3913,3.2918
1229.7559,3.3034
1236.0931,3.2598
1238.1109,3.2684
1244.6058,3.2407
1246.6236,3.251
1253.1184,3.2148
1255.1362,3.2165
1261.631,3.1807
1263.6488,3.1852
1270.1436,3.1487
1272.1614,3.1515
1278.6563,3.1236
1280.3588,3.107
1286.9797,3.0905
1288.8714,3.0905
1295.4924,3.0577
1297.384,3.0577
1303.8158,3.0414
1305.5814,3.0199
1312.5176,3.0092
1314.4093,3.0092
1320.7938,2.9931
1322.2125,2.9694
1329.5429,2.9614
1331.4346,2.9614
1338.0555,2.93
1339.9472,2.93
1346.3317,2.9144
1347.7504,2.8912
1354.8916,2.8835
1356.4995,2.8682
1363.4042,2.8529
1365.0121,2.8378
1371.3493,2.8197
1373.3671,2.8152
1379.8619,2.7839
1381.8798,2.7853
1388.3746,2.75
1390.3924,2.7558
1396.8872,2.7194
1398.5897,2.7194
1405.2107,2.6906
1407.1024,2.6763
1413.5341,2.662
1415.1421,2.6479
1421.9995,2.6338
1423.1818,2.6152
1429.9919,2.5907
1432.0097,2.5967
1438.5045,2.5633
1440.6799,2.5783
1440.207,2.5443
1447.0171,2.5361
1449.0349,2.5329
1455.5297,2.5039
1457.2323,2.4972
1463.8532,2.4708
1465.7449,2.4708
1472.3658,2.4446
1474.2575,2.4446
1480.1218,2.4161
1482.1396,2.4123
1488.6344,2.3867
1490.6522,2.3867
1497.147,2.3564
1499.1648,2.3635
1505.6597,2.3302
1507.3622,2.3302
1513.9831,2.3055
1515.8748,2.3055
1522.3066,2.281
1523.9145,2.269
1530.2517,2.2497
1532.2695,2.2489
1538.7643,2.2211
1540.7821,2.227
1547.277,2.1964
1549.2948,2.2015
1555.7896,2.1743
1557.8074,2.1704
1564.3022,2.1467
1566.0047,2.1398
1572.8148,2.1194
1574.5174,2.1171
1581.1383,2.0947
1583.03,2.1059
1588.8942,2.0703
1590.9121,2.0743
1597.4069,2.0495
1599.4247,2.0451
1605.9195,2.0234
1607.9373,2.0252
1614.4321,1.9977
1616.4499,2.0037
1622.7556,1.9755
1624.6473,1.9755
1631.2682,1.9546
1633.1599,1.9546
1639.0242,1.9318
1641.042,1.927
1647.5368,1.9073
1649.5546,1.9083
1656.0494,1.8831
1658.0672,1.888
1664.562,1.8631
1666.5799,1.8664
1673.0747,1.8433
1674.7772,1.8336
1681.209,1.8238
1682.9745,1.8109
1689.6743,1.8045
1690.8566,1.7917
1698.4234,1.7759
1700.3151,1.7853
1706.1793,1.7561
1708.1971,1.7586
1714.692,1.7375
1716.7098,1.7354
1723.2046,1.7164
1725.2224,1.717
1731.7172,1.6946
1733.4197,1.6928
1740.0407,1.6748
1741.9324,1.6748
1747.7966,1.6553
1749.8144,1.6571
1756.3093,1.6378
1758.3271,1.6352
1764.8219,1.6178
1766.8397,1.6178
1773.3345,1.5998
1775.3523,1.6021
1781.8471,1.5795
1783.5497,1.5795
1790.1706,1.5628
1792.0623,1.5628
1798.6832,1.5462
1800.5749,1.5462
1806.4392,1.5282
1808.457,1.5244
1814.9518,1.5088
1816.9696,1.5096
1823.4644,1.4896
1825.4822,1.4936
1831.9771,1.4738
1833.9949,1.4764
1840.4897,1.4582
1842.1922,1.4505
1848.624,1.4428
1850.3895,1.4326
1857.0893,1.4294
1858.2716,1.4187
1865.8384,1.4148
1867.7301,1.4123
1873.5943,1.3892
1875.6121,1.3924
1882.107,1.3745
1884.1248,1.3777
1890.6196,1.3607
1892.6374,1.3582
1899.1322,1.3434
1900.8347,1.3391
1907.6449,1.3263
1909.3474,1.3249
1915.9683,1.3109
1917.86,1.3109
1923.7243,1.2956
1925.7421,1.2981
1932.2369,1.2826
1934.2547,1.2798
1940.7495,1.2683
1942.7673,1.2674
1949.2621,1.2522
1951.2799,1.2539
1957.5856,1.2363
1959.4773,1.2363
1966.0982,1.2232
1967.9899,1.2232
1974.6109,1.2102
1976.5025,1.2102
1982.3668,1.1961
1984.3846,1.1942
1990.8794,1.1809
1992.8972,1.1815
1999.3921,1.1665
2001.4099,1.169
2007.9047,1.1536
2009.6072,1.1536
2016.2281,1.1413
2018.1198,1.1413
2024.5516,1.1304
2026.1595,1.1247
2033.0642,1.1173
2034.6722,1.1113
2041.0093,1.1019
2043.0272,1.1015
2049.522,1.0879
2051.5398,1.0908
2058.0346,1.0764
2060.0524,1.0792
2066.5472,1.065
2068.2498,1.0565
2075.0599,1.0537
2076.7624,1.0481
2083.1941,1.0425
2084.9597,1.0352
2091.6595,1.0315
2092.8418,1.0242
2099.6519,1.0151
2101.6697,1.0169
2108.1645,1.0038
2110.1823,1.007
2116.6771,0.9932
2118.695,0.9955
2125.1898,0.9832
2127.2076,0.9814
2133.7024,0.9707
2135.4049,0.9676
2142.215,0.9584
2143.9176,0.9574
2150.5385,0.9472
2152.4302,0.9522
2159.0511,0.9372
2160.9428,0.9422
2166.8071,0.9267
2168.8249,0.9281
2175.3197,0.9169
2177.3375,0.9158
2183.8323,0.9058
2185.8501,0.9061
2192.3449,0.8957
2194.0475,0.8933
2200.6684,0.8838
2202.5601,0.8838
2209.181,0.8745
2211.0727,0.8745
2216.937,0.8643
2218.9548,0.866
2225.4496,0.8551
2227.4674,0.8538
2233.9622,0.8447
2235.98,0.8455
2242.4749,0.8353
2244.4927,0.8365
2250.7983,0.8247
2252.69,0.8247
2259.311,0.816
2261.2026,0.816
2267.8236,0.8073
2269.7153,0.8073
2275.5795,0.7979
2277.755,0.8009
2277.2821,0.7924
2284.0922,0.789
2286.11,0.7882
2292.6048,0.7798
2294.6226,0.7798
2301.1174,0.7699
2303.1352,0.7723
2309.4409,0.7614
2311.3326,0.7614
2317.9535,0.7533
2319.8452,0.7533
2326.4661,0.7453
2328.3578,0.7453
2334.2221,0.7366
2336.2399,0.7348
2342.7347,0.7284
2344.7525,0.7277
2351.2473,0.7196
2353.2651,0.7199
2359.76,0.7108
2361.7778,0.7129
2368.2726,0.7029
2369.9751,0.7029
2376.596,0.6955
2378.4877,0.6954
2385.1087,0.6881
2387.0004,0.6881
